created_at,text,likes,retweets
2025-06-06 17:01:52+00:00,"@FoxNews TESLA-- RANDELL CLIFFORD MEANS WAS ELON MUSK NUMBER ONE INTERNATIONAL BROKER IN 2021 TO 2022 WHEN THE DETROIT WINDSOR AMBASSADOR BRIDGE WAS SHUT DOWN BY THE CANADIAN TEAMSTERS UNION 

US CUSTOMS AND BORDER PATROL-- CUSTOMS RELEASE ANALYST / SPECIALIST 
NAME IT RANDELL CLIFFORD https://t.co/ZWA6ga0kK1",0,0
2025-06-06 17:01:52+00:00,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Type “”YES “” to have proceed 

Signed:
ELON MUSK ★ https://t.co/IEjmrHlSj1",0,0
2025-06-06 17:01:52+00:00,Elon Musk replied to Space Sudoer https://t.co/pzzmHshelO https://t.co/WnOv2dRyXk,0,0
2025-06-06 17:01:51+00:00,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★ https://t.co/yMfJh3o8gO",0,0
2025-06-06 17:01:50+00:00,"Elon Musk: ""Trump is on the Epstein list!""

Trump: ""We won 't give your companies money anymore!""

RFK sounding like a fork in a garbage disposal: ""Fruit Loops cause autism!""",0,0
2025-06-06 17:01:50+00:00,Here’s how the divorce of Elon Musk and Donald Trump played out yesterday. Here’s all their posts threatening and bashing each other. 👇👇👇👇👇👇👇👇👇👇 https://t.co/V3F3C3aooV,0,1
2025-06-06 17:01:47+00:00,@grok @sniffoutmedia @Asmongold @grok make an image of Elon musk getting deported back to South Africa,1,0
2025-06-06 17:01:46+00:00,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Type “”YES “” to have proceed 

Signed:
ELON MUSK ★ https://t.co/rauketvIas",0,0
2025-06-06 17:01:45+00:00,"Come and go to your side 

A. Team Elon musk          B. Team trump https://t.co/8EE6w6m89n",0,0
2025-06-06 17:01:44+00:00,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★ https://t.co/sgsyItNswn",0,0
2025-06-06 17:01:44+00:00,"NOTIFICATIONS FROM ELON MUSK
I'm contacting you because we are hosting a program to celebrate and appreciate some of my amazing fans on 𝕏Have you heard about it?
Contact me now 
https://t.co/aYf7mau4Kz https://t.co/5NTxj1sQPU",0,0
2025-06-06 17:01:43+00:00,"#News #BreakingNews #Trump #Biden #Ukraine #Breaking #Politics #Economy #2A #PutThatInYourPipe #GOP 
Elon Musk agrees he and Trump should ‘make peace’ for benefit of the country https://t.co/szx1ZUc2Fo",0,0
2025-06-06 17:01:43+00:00,@bitharded Hope you have a nice Friday. What do you think about this Elon Musk-Trump thing?,0,0
2025-06-06 17:01:41+00:00,"Musk Blinks First in Trump Feud That Cost Him $34 Billion https://t.co/rJY5bay61v via @YouTube

@elonmusk 

Hey Elon did you know you backed down first?",0,0
2025-06-06 17:01:40+00:00,@LauraLoomer @nypost President Donald Trump is now reportedly considering getting rid of or giving away the red Tesla that Elon Musk gave him as a gift as he dose not want to speak or call to Elon musk.🧐,0,0
2025-06-06 17:01:40+00:00,@elonmusk More power to you Elon Musk,1,1
2025-06-06 17:01:40+00:00,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★ https://t.co/NSuOjhy0My",0,0
2025-06-06 17:01:38+00:00,"The war of words escalating
between President Trump
and Elon Musk reminded
me of these 3 songs:

1. “You Can Go Your Own Way” Fleetwood Mac
2. “Hit Me with Your Best Shot” Pat Benatar
3. “We Can Work It Out” Beatles

My prayer is #3 will triumph.",1,0
